name,price,rating,about
Suntory Torys Classic,£30.45,3.5(2 Reviews),"Suntory Torys Classic is a light and easy-drinking Japanese spirit. Due to being below 40% abv, this cannot be called a whisky in the EU, but is still made from a blend of malt and grain."
Suntory Toki,£31.95,4(30 Reviews),"Toki is a blended whisky from Suntory's three distilleries: Yamazaki, Hakushu and Chita. This is a round and sweet blend with a refreshing citrus character and a spicy finish.'Toki' means 'time' in Japanese. Toki has a different composition to its sister blend, Suntory Hibiki, and its main components are Hakushu single malt and Chita grain whisky.Tasting Notes (1) "
Tokinoka White Blended Whisky,£32.95,,"A Japanese blended whisky from White Oak distillery, Tokinoka White has delicate white chocolate and floral notes, alongside maple syrup, green apples and fiery pink peppercorn."
Akashi Blended Whisky,£32.95,3.5(19 Reviews),"A lesser-known whisky outside the local Japanese market, this version of Akashi is specially produced for the European market using a mixture of Japanese and foreign-made malt and grain whisky to produce a reasonably priced everyday blend."
Hatozaki Blended Japanese Whisky,£33.95,3(3 Reviews),"Named after the oldest stone lighthouse in Japan, Hatozaki blended whisky is made at Kaikyo distillery. Matured in a variety of casks, including sherry, bourbon and Mizunara oak it has a complex character, with notes of cherry blossom, pears and caramel throughout the palate."
Suntory TokiGlass Pack,£34.95,,"A lovely gift set from Suntory, including a bottle of Toki whisky and a stylish highball glass. Toki is a blended whisky from Suntory's three distilleries: Yamazaki, Hakushu and Chita. This is a round and sweet blend with a refreshing citrus character and a spicy finish.'Toki' means 'time' in Japanese. Toki has a different composition to its sister blend, Suntory Hibiki, and its main components are Hakushu single malt and Chita grain whisky."
Nikka Days,£38.95,5(1 Review),"A vibrant addition to the Nikka range, Nikka Days is a bright and vivacious blend of malt and grain whiskies from distilleries including both Yoichi and Miyagikyo. Its medium body hosts an array of floral and zesty flavours which mingle effortlessly with an underlying vanilla-toffee depth and a light, distant touch of breezy peat smoke. A fresh and delicate whisky, Days makes a delicious sipping dram or sits beautifully in a refreshing highball.Tasting Notes (1) "
Mars Kasei Blended Whisky,£42.95,5(1 Review),"Mars Kasei blended whisky is a soft, rounded whisky from Shinshu distillery in Japan. The nose is full of gentle white flower aromas and notes of sweet, ripe fruits, while the palate offers notes of warm spices, green apples, white grapes and honey."
Nikka From the Barrel,£42.95,4.5(108 Reviews),"Nikka from the Barrel is big-boned and bursting with character. Not averse to a drop of water, either. A real star, winning top prize in its category at the World Whisky Awards in 2007 and 2010.Japanese whisky producer Nikka was founded in 1934 and has become Japan's second largest distiller, producing a large range of single malts and blended whiskies between its two distilleries - Yoichi and Miyagikyo.Tasting Notes (2) "
Togouchi Premium Blended Whisky,£45.25,4.5(10 Reviews),"Although blended in Japan, Togouchui Premium Whisky is a blend of Scottish malt and Canadian grain. Aged in the town of Togouchi in a tunnel that was originally built for a railway but never used - intriguing!"
Nikka Pure Malt Red,£46.45,4.5(3 Reviews),"Blended with Japanese malt from Nikka's Yoichi and Miyagikyo distilleries, this is clean, fruity and very easy to drink.Tasting Notes (2) "
Hatozaki Pure Malt Japanese Whisky,£47.45,5(2 Reviews),"Named after the oldest stone lighthouse in Japan, Hatozaki Pure Malt Japanese whisky is a sweet, smoky blended malt whisky from Kaikyo distillery. Rich aromas of dried fruits, toffee apples and summer blossoms fill the nose, and the palate offers notes of sweet honey, delicate wood smoke and sultanas."
Tokinoka Black Blended Whisky,£47.95,,"Created by Master Blender Akito Ueda, this Japanese blended whisky from White Oak distillery is a variation of the original Tokinoka blend. A mix of 50% malt whisky and 50% grain whisky it has been aged in three different types of cask – ex-bourbon, Xeres and virgin oak casks. A richer, fruitier blend than the original, Tokinoka Black has notes of pineapples, mangoes and toasted oak, building into spicier notes of ginger, black pepper and cinnamon. The finish is long and lingering, with notes of vanilla and honey."
Suntory Chita Whisky,£49.95,4.5(38 Reviews),"Chita is Suntory's grain distillery. The flagship release is aged in a combination of wine, sherry and bourbon casks. This is a light whisky with subtle notes of mint, honey and wood spice."
Super NikkaRare Old,£50.25,4.5(10 Reviews),Super Rare Old is a famous Japanese blend from the Nikka company. This contains a high proportion of malt from the Yoichi and Miyagikyo distilleries.
Nikka Coffey Grain Whisky,£54.95,4.5(51 Reviews),"A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.Tasting Notes (2) "
Enso Japanese Whisky,£55.95,,"A delicate Japanese blended whisky from Kiyokawa, in Kanagawa Prefecture, Enso has been distilled using pot stills and matured in American oak casks. Aromas of lemon blossom, orange zest, vanilla, caramel and soft smoke fills the nose, complemented by notes of toasted oak, crunchy apples, cinnamon, woody vanilla and honeysuckle on the palate. Enjoy this whisky neat or as part of your favourite cocktail."
Mars Maltage Cosmo,£55.95,4(8 Reviews),"Cosmo from Mars Maltage is a blended malt that includes whisky from Shinshu in Japan. A big hit when released at the 2015 Tokyo International Bar Show, this is a permanent addition to the fledgling distillery's range.Tasting Notes (1) "
Nikka Coffey Malt Whisky,£58.45,4.5(39 Reviews),"Previously only released as part of single casks, Nikka decided to add their Coffey Malt to their core range in 2014. Distilled in a Coffey still normally used for grain whisky production, the malt is delightfully fruity and spicy.Tasting Notes (1) "
Suntory Kakubin Yellow Label,£59.45,4.5(7 Reviews),"Kakubin Yellow Label is Suntory's flagship blended whisky. Produced since 1937, its name means 'square bottle'. A blend of bourbon-cask whisky from Yamazaki and Hakushu, this is a classic example of lighter Japanese whisky and is great in a highball with soda."
Nikka Taketsuru Pure Malt2020 Release,£59.95,5(1 Review),"The 2020 release of Nikka Taketsuru blended malt whisky is a smoky, full-bodied whisky with notes of rich oak spice, aromatic peat and sweet flowers throughout the palate."
Suntory Hakushu Distiller's Reserve,£66.95,4.5(27 Reviews),"A green and crunchy entry in the Hakushu Range, combining whisky of a wide variety of ages, from across the range of casks used by the distillery to create a gently smoky dram, packed with fruity flavour.Tasting Notes (1) "
Suntory Yamazaki Distiller's Reserve,£68.95,4.5(52 Reviews),"A fresh and fruity whisky from Yamazaki, full of red fruit and a touch of sherry cask. It's also got some mizunara (Japanese oak) matured whisky in the mix, which comes through as a complex spicy and almost incense-like note. A well put together and deep dram.Tasting Notes (1) "
Ichiro's Malt & Grain Japanese Whisky,£69.95,5(1 Review),"A blend from the king of independent Japanese distillers, Ichiro Akuto. In addition to whisky from his own Chichibu distillery, it also includes whiskies from America, Canada, Scotland and Ireland. As it says on the label – 'This is worldwide blended whisky'."
Suntory Hibiki Harmony,£71.45,4(55 Reviews),"Hibiki Japanese Harmony is a blend of Japanese malt and grain whiskies from Yamazaki, Hakushu and Chita. Presented in the brand's trademark 24-faceted bottle representing the Japanese seasons, this is light, approachable and moreish with enticing notes of orange peel and white chocolate.Tasting Notes (2) "
Akashi Single Malt Whisky,£73.75,5(1 Review),"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Producing using lightly peated barley and aged in three different types of cask, this is the brand's flagship malt."
Amahagan Edition No 1Blended Malt Whisky,£74.95,,"Amahagan World Malt Edition No.1 is the first release in a series of three world blended whiskies from Japan's Nagahama distillery. Aromas of milk chocolate, orange, vanilla and roast nuts fill the nose, complemented by notes of apple, honey, malt, clove-studded oranges and oaky vanilla."
Nikka Miyagikyo Single Malt,£74.95,4.5(9 Reviews),"Nikka's entry-level whisky from Miyagikyo distillery. Light in body, yet full of flavour, this is an excellent introduction to Japanese whisky. Elegantly fruity with sherry-cask character.Tasting Notes (2) "
Nikka Yoichi Single Malt,£74.95,4.5(8 Reviews),"Relaunched in 2016, this comes from Nikka's excellent Yoichi distillery. This is a blend of single malts from different years and consequently does not carry an age statement. This is a smoky whisky with a maritime character.Tasting Notes (1) "
Yamazakura 9638 Year Old,£77.95,5(2 Reviews),"A subtly spicy blended whisky from Japan, with notes of orchard fruits and caramel."
Amahagan Yamazakura Wood Limited Edition,£79.95,,"A fruity, floral blend of malts from the up-and-coming Nagahama distillery that has been finished in Yamazakura cherry wood casks. The palate offers notes of wild cherry blossom, sweet incense, orange peel and dark honey that linger in the finish."
Amahagan Edition No 2Red Wine Finish,£79.95,,"The second release of Amahagan World Malt from Nagahama Distillery in Japan, Edition No.2 has been finished in ex-red wine casks. Aromas of sweet malt, digestive biscuits, raisins, plums, strawberries and raspberries fill the nose, complemented by notes of cranberries, toasted oak, cherries, cinnamon, black pepper and floral honey throughout the palate."
Togouchi Whisky 12 Year Old,£81.25,4(1 Review),"Togouchi's ageing warehouse must be one of the world's most unusual – it is an old railway tunnel in the eponymous town that was never used. This is the 12 year old, a blend of Scottish malt and Canadian grain that's fruity and citrus-rich."
Nikka Taketsuru Pure Malt,£84.95,4.5(14 Reviews),"Taketsuru's no-age-statement blended malt contains a high percentage of malt from Miyagikyo, with the reminder coming from Yoichi. Aged on average for around 10 years in a variety of different cask types, including some sherry wood for extra richness.Tasting Notes (2) "
Nikka Pure Malt Black,£89.95,4.5(11 Reviews),A storming example of what Japanese whisky is truly capable of. A previous batch was awarded a massive 95 points by Jim Murray in his Whisky Bible.Tasting Notes (2) 
Amahagan Edition No 3Mizunara Finish,£98.95,,"Amahagan World Malt Edition No.3 is a Japanese malt whisky from Nagahama distillery, that has been finished in Mizunara wood. Aromas of orchard fruits, juicy oranges, sweet caramel and fragrant oak fill the nose, complemented by notes of Terry's Chocolate Orange, dark chocolate and citrus throughout the palate."
Kaiyo Peated Mizunara Oak,£99.95,,"A fruity, zesty and softly-smoky Japanese whisky, matured in mizunara oak casks. Aromas of orange peel, jasmine, soft cedar and coastal air fill the nose. The palate offers notes of earthy coffee, green apples, black tea and fresh herbs, with hints of cinnamon pastries and mango that linger in the finish."
Nikka Tailored,£110,,"Introduced to replace the beloved Nikka 12 Year Old, Tailored is a blend including malt whisky from Nikka's Yoichi and Miyagikyo distilleries and its Coffey Still grain. The whisky balances soft fruity notes with bitter notes of dark chocolate and citrus zest.Tasting Notes (1) "
Ichiro's Malt Double Distilleries(46.5%),£115,4.5(2 Reviews),"The newer, 46.5% version of a vatting of single malt from the Hanyu distillery built by Ichiro Akuto's grandfather with malt from the Chichibu distillery built nearby by Ichiro himself. A deliciously nutty dram."
Ichiro's Malt Wine Wood Reserve,£115,5(1 Review),"Ichiro Akuto, founder of Japan's Chichibu distillery, is not only one of the most respected distillers in the country, but he's also a master whisky blender. His Wine Wood Reserve is a blended malt containing Japanese whiskies from Chichibu that have been finished in red wine casks and Scottish whisky. The result is a rich and jammy dram with lots of complexity."
Ichiro's Malt MWRMizunara Wood Reserve,£115,5(4 Reviews),"The return of a legendary whisky from Ichiro Akuto, formerly of Hanyu distillery and now founder and distiller at Chichibu. This is a blend of malt whiskies from his extensive stocks, including whisky matured in mizunara – fragrant Japanese oak. Outstandingly rare, with only very limited amounts available to the whisky industry to use to make casks, mizunara is uniquely fragrant and adds a refined and almost incense-like air to this whisky."
Mars Komagatake ShinanotanpopoNature of Shinshu,£125,4.5(4 Reviews),"The third in Mars Komagatake's Nature of Shinshu series, which focuses on botanicals local to the distillery, is Shinanotanpopo, which means 'dandelion flower' in Japanese.Shinanotanpopo is made from a blend of different casks, including ex-bourbon, sherry and white oak – some of which were over 20 years old. This is a floral dram with additional notes of red fruits and soft spices."
The Nikka 12 Year Old,£125,5(16 Reviews),"A blend including whisky from Nikka's two distilleries, Yoichi and Miyagikyo, The Nikka 12 is a well-balanced blend. There's green-apple freshness, rich fruitcake spiciness, butterscotch and some green-peppercorn punch. Another winner from Nikka.Tasting Notes (2) "
Suntory Yamazaki 12 Year Old,£135,4.5(90 Reviews),"One of the first Japanese single malts to break into the UK market, Suntory's Yamazaki 12 Year Old continues to impress with its well-balanced fruity sweetness, something that appeals to novice and experienced whisky drinkers alike.Tasting Notes (3) Yamazaki 12 year Old is a pioneering malt in Japan, for which Suntory deserve great credit. In its early days, it was rounded and delicate...now it is more intense, confident and elegant. 8/10. Michael Jackson, Whisky Magazine, Oct 2002"
Nikka Coffey Malt Whisky Show Package1 Ticket,£165,,"A brilliant bundle that includes a bottle of Nikka Coffey Malt Whisky, a pair of tumblers, a Whisky Exchange tasting notes book and a ticket for Whisky Show 2021 on Sunday 3 October 2021.Previously only released as part of single casks, Nikka decided to add their Coffey Malt to their core range in 2014. Distilled in a Coffey still normally used for grain whisky production, the malt is delightfully fruity and spicy.Please noteThis product is a bundle offer. It will be displayed in the checkout with the special discounted price, and the components shown below without price. Please be aware that there are no extra free items with these bundles."
Togouchi 15 Year Old,£175,5(1 Review),"The 15-year-old version of Togouchi's blended whisky. A combination of whiskies from Canada and Scotland, which are blended together and aged in a Japanese railway tunnel. Nutty, chocolatey and spicy."
Suntory Hakushu 12 Year Old,£175,4.5(32 Reviews),"A perennial favourite and a must-try for anyone interested in discovering Japanese whisky. Hakushu is owned by Suntory, founders of the first Japanese distillery, Yamazaki. The original Hakushu distillery was built in 1973, with another distillery building called Hakushu Higashi (east) added in 1981.Tasting Notes (3) "
Ichiro's Malt & GrainWorld Blended Whisky 2020 Blue Label,£185,,"A limited-edition Ichiro's Malt & Grain from Chichibu, released in 2020, this world blended whisky has been made with a combination of casks from around the globe, creating a sweet, spicy and complex character. The palate offers notes of caramel, toffee, shortbread biscuits, lemon curd, pine needles and sweet blossoms that linger in the finish."
Nikka Coffey Malt Whisky Show Package2 Tickets,£260,,"A brilliant bundle that includes a bottle of Nikka Coffey Malt Whisky, a pair of tumblers, a Whisky Exchange tasting notes book and a pair of tickets for Whisky Show 2021 on Sunday 3 October 2021.Previously only released as part of single casks, Nikka decided to add their Coffey Malt to their core range in 2014. Distilled in a Coffey still normally used for grain whisky production, the malt is delightfully fruity and spicy.Please noteThis product is a bundle offer. It will be displayed in the checkout with the special discounted price, and the components shown below without price. Please be aware that there are no extra free items with these bundles."
